timestamp,frame_num,robot_pos_x,robot_pos_y,robot_pos_z,robot_orient_w,robot_orient_x,robot_orient_y,robot_orient_z,object_pos_x,object_pos_y,object_pos_z,object_orient_w,object_orient_x,object_orient_y,object_orient_z
0.682,0,1.7966574,-3.6960294,0.31461892,0.5950204,-0.017736286,-0.0075412174,0.80347943,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
1.182,1,1.7940879,-3.6843982,0.5474176,0.6018069,-0.06718029,0.008970407,0.7957606,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
1.506,2,1.7933055,-3.6750998,0.6953119,0.60633564,-0.10725188,0.04285132,0.7867769,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
1.815,3,1.7914797,-3.662782,0.7472503,0.60987043,-0.122027524,0.09929256,0.7767293,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
2.131,4,1.7923771,-3.6530142,0.69876945,0.6075377,-0.1588188,0.13328563,0.7667526,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
2.443,5,1.7788897,-3.6375515,0.58081627,0.6099402,-0.17401467,0.10157609,0.76640344,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
2.736,6,1.7588457,-3.620734,0.4692158,0.5935897,-0.099842705,0.024511242,0.79817414,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
3.047,7,1.7245286,-3.5971122,0.429224,0.5932573,-0.0763627,0.0002679187,0.80138284,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
3.365,8,1.6607009,-3.5610683,0.4328756,0.5979066,-0.061987456,0.0094277635,0.79910976,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
3.662,9,1.6135073,-3.537574,0.45592657,0.60277367,-0.021538815,0.01082422,0.797548,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
3.970,10,1.5883474,-3.528372,0.48658285,0.60362697,-0.0007933801,0.0014700012,0.7972652,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
4.250,11,1.5756863,-3.5249481,0.4976952,0.6063461,0.008752763,-0.0038474712,0.7951434,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
4.548,12,1.5707147,-3.5243337,0.49447626,0.60815436,0.006141172,-0.0043240776,0.79378337,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
4.846,13,1.5693841,-3.5253432,0.48945764,0.6091279,0.0031443054,-0.003194331,0.7930594,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
5.144,14,1.569406,-3.5267382,0.48709375,0.6102111,0.0015887613,-0.0025573445,0.79223317,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
5.465,15,1.569869,-3.527926,0.48677486,0.61157227,0.0013208224,-0.0025060314,0.79118353,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
5.777,16,1.5704515,-3.5288177,0.48707712,0.6130671,0.0015511817,-0.0026261392,0.790025,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
6.069,17,1.5710276,-3.5295048,0.4872607,0.61455953,0.0018043643,-0.0026812812,0.78886396,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
6.353,18,1.5715394,-3.5300953,0.48722595,0.61600196,0.0019811508,-0.0026492483,0.78773767,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
6.649,19,1.5719603,-3.5306358,0.4870896,0.6173922,0.0021031627,-0.0025819049,0.7866486,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
6.942,20,1.5722884,-3.5311427,0.48694488,0.6187444,0.0021977413,-0.0025176574,0.7855852,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
7.226,21,1.5725361,-3.5316174,0.48681614,0.6200696,0.0022748045,-0.0024754866,0.78453964,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
7.534,22,1.5727208,-3.532061,0.4866935,0.62136257,0.002341714,-0.0024471965,0.78351593,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
7.863,23,1.5728573,-3.5324738,0.4865703,0.6226273,0.002388515,-0.0024382474,0.7825112,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
8.159,24,1.5729578,-3.5328646,0.48644397,0.62386453,0.0024227062,-0.0024297503,0.7815249,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
